Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cescom_LeaveRequest,Chrome 104.0.5112.81,,,2022-08-24 11:06:16,2022-08-24 11:07:38,1m - 21.796s,FAILED
,,,,,,,
Test Cases/TC_Apply_CESCOM,Chrome 104.0.5112.81,,,2022-08-24 11:06:16,2022-08-24 11:07:10,54.288s,FAILED
"openBrowser("""")",Chrome 104.0.5112.81,,,2022-08-24 11:06:17,2022-08-24 11:06:20,2.692s,PASSED
navigateToUrl(url),Chrome 104.0.5112.81,,,2022-08-24 11:06:20,2022-08-24 11:06:23,3.484s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-24 11:06:23,2022-08-24 11:06:23,0.145s,PASSED
driver = getWebDriver(),Chrome 104.0.5112.81,,,2022-08-24 11:06:23,2022-08-24 11:06:23,0.008s,PASSED
"setText(findTestObject(""Object Repository/TC_Apply_CESCOM/Page_HRMS/input_Login to HRMS_UserName""), username)",Chrome 104.0.5112.81,,,2022-08-24 11:06:23,2022-08-24 11:06:24,1.136s,PASSED
"setText(findTestObject(""Object Repository/TC_Apply_CESCOM/Page_HRMS/input_Login to HRMS_Password""), password)",Chrome 104.0.5112.81,,,2022-08-24 11:06:24,2022-08-24 11:06:25,0.657s,PASSED
"a = Integer.parseInt(xpath(""/html/body/div/div[1]/div[2]/div[2]/div/div/form/label/div/span[1]"")).getText())",Chrome 104.0.5112.81,,,2022-08-24 11:06:25,2022-08-24 11:06:25,0.311s,PASSED
"b = Integer.parseInt(xpath(""/html/body/div/div[1]/div[2]/div[2]/div/div/form/label/div/span[2]"")).getText())",Chrome 104.0.5112.81,,,2022-08-24 11:06:25,2022-08-24 11:06:26,0.273s,PASSED
output = String.valueOf(a + b),Chrome 104.0.5112.81,,,2022-08-24 11:06:26,2022-08-24 11:06:26,0.001s,PASSED
"className(""submit__input"")).sendKeys(output)",Chrome 104.0.5112.81,,,2022-08-24 11:06:26,2022-08-24 11:06:26,0.302s,PASSED
"click(findTestObject(""Object Repository/TC_Apply_CESCOM/Page_HRMS/input__BtnLogin""))",Chrome 104.0.5112.81,,,2022-08-24 11:06:26,2022-08-24 11:06:35,8.980s,PASSED
"if (verifyElementPresent(findTestObject(""Object Repository/TC_Apply_CESCOM/Page_HRMS/input_Accounts_undefined""), 10, OPTIONAL))",Chrome 104.0.5112.81,,,2022-08-24 11:06:35,2022-08-24 11:06:46,11.361s,PASSED
"click(findTestObject(""Object Repository/TC_Apply_CESCOM/Page_HRMS/p""))",Chrome 104.0.5112.81,,,2022-08-24 11:06:46,2022-08-24 11:06:48,1.754s,PASSED
"click(findTestObject(""Object Repository/TC_Apply_CESCOM/Page_HRMS/input_Leave Calender_Leave Request""))",Chrome 104.0.5112.81,,,2022-08-24 11:06:48,2022-08-24 11:06:55,7.022s,PASSED
"se2 = new org.openqa.selenium.support.ui.Select(driver.findElement(org.openqa.selenium.By.xpath(//*[@id=""ddlLeaveType""])))",Chrome 104.0.5112.81,,,2022-08-24 11:06:55,2022-08-24 11:06:56,1.223s,PASSED
b3 = leavetype,Chrome 104.0.5112.81,,,2022-08-24 11:06:56,2022-08-24 11:06:56,0.001s,PASSED
